1.341,0.31,-0.32,0.13
1.346,0.33,-0.33,0.07
1.351,0.32,-0.35,0.05
1.356,0.33,-0.38,0.02
1.362,0.34,-0.42,0
1.367,0.34,-0.46,-0.02
1.371,0.32,-0.51,-0.05
1.377,0.29,-0.56,-0.06
1.386,0.27,-0.61,-0.08
1.387,0.25,-0.67,-0.07
1.392,0.21,-0.73,-0.06
1.397,0.17,-0.79,-0.03
1.403,0.13,-0.84,0
1.407,0.1,-0.89,0.01
1.412,0.08,-0.94,-0.02
1.419,0.06,-0.97,-0.06
1.423,0.03,-0.98,-0.15
1.427,0,-0.99,-0.25
1.436,-0.05,-0.98,-0.37
1.438,-0.1,-0.99,-0.48
1.442,-0.12,-0.98,-0.59
1.447,-0.15,-0.96,-0.68
1.455,-0.17,-0.96,-0.73
1.457,-0.21,-0.95,-0.77
1.462,-0.23,-0.94,-0.78
1.477,-0.24,-0.92,-0.79
1.478,-0.22,-0.9,-0.77
1.479,-0.16,-0.87,-0.76
1.486,-0.08,-0.82,-0.77
1.488,0.04,-0.76,-0.78
1.494,0.26,-0.7,-0.8
1.498,0.34,-0.69,-0.78
1.507,0.4,-0.7,-0.74
1.509,0.42,-0.72,-0.66
1.54,0.43,-0.74,-0.57
1.54,0.43,-0.75,-0.46
1.541,0.45,-0.78,-0.34
1.541,0.47,-0.8,-0.22
1.542,0.49,-0.83,-0.11
1.543,0.51,-0.84,-0.02
1.543,0.58,-0.82,0.08
1.548,0.71,-0.79,0.22
1.553,0.88,-0.72,0.34
1.557,1.02,-0.58,0.43
1.563,1.15,-0.45,0.37
1.568,1.21,-0.37,0.09
1.573,1.21,-0.32,-0.34
1.578,1.34,-0.25,-0.63
1.584,1.65,-0.1,-0.45
1.588,2.08,0.16,0.17
1.593,2.51,0.49,1.07
1.6,2.86,0.85,2.06
1.603,3.14,1.09,2.96
1.608,3.33,1.15,3.62
1.613,3.44,1.16,4.01
1.622,3.47,1.23,4.01
1.623,3.46,1.36,4.01
1.628,3.45,1.5,4.01
1.634,3.43,1.63,4.01
1.638,3.34,1.75,4.01
1.643,3.22,1.85,4.01
1.651,3.04,1.89,3.74
1.653,2.84,1.9,3.32
1.658,2.61,1.86,2.91
1.663,2.35,1.79,2.51
1.669,2.09,1.67,2.17
1.674,1.83,1.53,1.87
1.679,1.58,1.38,1.6
1.69,1.32,1.24,1.36
1.692,1.07,1.11,1.13
1.694,0.83,1.01,0.91
1.705,0.63,0.93,0.7
1.706,0.47,0.87,0.54
1.709,0.32,0.82,0.38
1.714,0.19,0.8,0.24
1.72,0.06,0.8,0.09
1.724,-0.05,0.78,-0.08
1.729,-0.13,0.75,-0.2
1.741,-0.17,0.72,-0.28
1.743,-0.19,0.7,-0.31
1.745,-0.18,0.69,-0.31
1.761,-0.17,0.66,-0.28
1.762,-0.14,0.56,-0.17
1.764,-0.16,0.5,-0.07
1.765,-0.21,0.45,0.03
1.792,-0.27,0.4,0.13
1.793,-0.32,0.35,0.22
1.794,-0.38,0.3,0.28
1.795,-0.44,0.26,0.31
1.796,-0.51,0.23,0.35
1.797,-0.58,0.22,0.35
1.813,-0.63,0.22,0.35
1.814,-0.67,0.25,0.34
1.816,-0.69,0.28,0.31
1.817,-0.71,0.31,0.25
1.836,-0.71,0.34,0.19
1.838,-0.72,0.38,0.13
1.839,-0.71,0.41,0.06
1.84,-0.68,0.45,0
1.841,-0.65,0.5,-0.06
1.845,-0.63,0.54,-0.13
1.85,-0.61,0.57,-0.19
1.857,-0.6,0.6,-0.23
1.86,-0.6,0.61,-0.26
1.866,-0.59,0.6,-0.24
1.873,-0.58,0.63,-0.2
1.875,-0.57,0.64,-0.17
1.88,-0.56,0.64,-0.13
1.895,-0.56,0.66,-0.08
1.896,-0.55,0.67,-0.03
1.898,-0.54,0.68,0.09
1.916,-0.52,0.69,0.21
1.918,-0.46,0.74,0.36
1.918,-0.39,0.81,0.48
1.92,-0.36,0.88,0.55
1.923,-0.34,0.97,0.64
1.925,-0.32,1.06,0.79
1.93,-0.28,1.15,1.02
1.937,-0.26,1.26,1.35
1.941,-0.22,1.42,1.85
1.945,-0.17,1.6,2.34
